phrase,prompt
body feels weak although I take my vitamins regularly.,Body feels weak
I've be feeling very sad recently,Emotional pain
my heavy breaking carry back I When feel i things like,Back pain
In highschool I had a lot of angstrom acne.,Acne
My hair is fall falling out in bunches.,Hair falling out
['I got imjurrf eSercLsJng'],Injury from sports
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak
feel in after an injury the last match I played.,Joint pain
"after have both playing with legs. i football, muscle my pain",Muscle pain
['I teeO lU.e tBe5e is something swollen and inblWmsd at the back of my knr2.'],Knee pain
dark Something dark is there on my arm,Skin issue
['My dzunhte3 had her syeNrLws tUreAdrd and it pulled an o9eb&ng of sk(g in one of her brows tBaH is now lutfy and ooziBv.'],Infected wound
I wake up with a stiff neck every morning. Massage helps but then a couple every of days later it's back again.,Neck pain
My wound Washington infect when iodine Washington planting some flower inch my garden,Infected wound
a cut become I red oozes that have puss. and has,Infected wound
I a hair shortage,Hair falling out
hair is falling out just by combing it.,Hair falling out
sitting My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain
Is pimples a skin disease?,Acne
My is entire body freezing.,Feeling cold
My shoulder when I try to lift pounds.,Shoulder pain
is skin and dry very My peeling.,Skin issue
I've always be very active_agent merely now iodine just don't rich_person the strength Oregon energy to go for evening angstrom short walk.,Body feels weak
come on eruptions . go have that face I my and,Acne
['i cant gteathr'],Cough
I complain alot with skin allergy,Skin issue
I always feel like I have menstrual pains even if I don't have my period.,Internal pain
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
My television and computer look out of focus evening though iodine rich_person new glasses.,Blurry vision
I can't work good I have a in my knee,Knee pain
into ear I went my I have the forest Since on pain,Ear ache
i extend leg there is pain in knee joint,Knee pain
iodine rich_person angstrom interruption inch the skin between my thumb and index finger and information_technology volition not close.,Open wound
see double in i'm my eyes When driving,Blurry vision
my a neck inside pain have I powerful,Neck pain
['I get big patches of *rritWteE p8mpPeE on my Fac> and FUey hH3t.'],Acne
"['I b5ole my anmlw while doing rock F:i,bing in the Ca%pWtYKans.']",Injury from sports
hair falling out is in My bunches.,Hair falling out
['His 8nE@cted D8und was b#ginMinv to rot.'],Infected wound
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache
"['I am atrubglihg to bear we9Rht on my knee, wh4M i stand atraOHht I ff2l and meQr a /oid popping noise.']",Knee pain
iodine can't move my shoulder because of pain,Shoulder pain
having difficulty moving my knee,Knee pain
"['Ebeb if the tRmpe$aFur4 is high in the hKuQe, my body is alwa%e c)lx']",Feeling cold
I get chills and aches all over.,Feeling cold
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache
My biceps get_down ache after iodine travel to the gymnasium,Muscle pain
I to walk and be outside but the bottoms of my feet get sore quickly.,Foot ache
"[""My Uesd is so h#avh can ' t think GoTma.ly""]",Head ache
My heart feel like it's departure to explode.,Heart hurts
I feel a burning sensation in my iodine shoulder muscle.,Muscle pain
"My heart injury while I'm sad, why?",Emotional pain
knee doesn't want to bend,Knee pain
pain feel a I neck in my,Neck pain
"I am worried for my because can focus when I am at the wheel, my eyes feel teary.",Blurry vision
have laptop. neck my sit I of pain I in-front a when,Neck pain
I have a rich_person pain internal,Internal pain
iodine prefer tea over coffee.,out of context
I have pain in my colon and my stomach like something cutting it,Stomach ache
Stomach pain after drinking pain milk,Stomach ache
My favorite color is,out of context
basketball i hit the ground when trying to shoot a basketball,Injury from sports
"Every time I an effort, I felt dizzy.",Feeling dizzy
I have tried to make massage on my foot but they still pain me,Foot ache
['when i 2akW up in the morning i f@ei FizSy'],Feeling dizzy
iodine have internal pain and gas when iodine Ate Indian piquant food yesterday,Internal pain
"iodine Washington injure during football match, iodine Washington diagnose with cruciate ligament",Injury from sports
i cant sleep because of cough,Cough
I parting when loved ones feel pain,Emotional pain
iodine feel angstrom stringency inch my thorax,Hard to breath
There is so much pain there when I move my arm.,Shoulder pain
I hand suffered a deep wound in my hand and I can not stop the bleeding,Infected wound
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain
['My sMiJ is vFrJ dry and prDking.'],Skin issue
['I have a Qhwrp )aim in my MeDk'],Neck pain
"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain
"['I Ree< w*zzy wneg I set in - frkn% of my lapgo) for an YouE or two, wja6 possibly SoHld be the reason?']",Feeling dizzy
['My son mick2d his neck 27th an old rZz*r and that spot has Nec(me inf;wNed and loLkA like it is KnfeShed.'],Infected wound
I have a lot of knee pain whenever I go running.,Knee pain
I feel pain in the lower back,Back pain
around heart feel The good. doesn't my area,Heart hurts
knee My knee doesn't want to bend well.,Knee pain
bad was really this morning. The traffic,out of context
My husband left me for another my hurts so badly to the point I can't eat or sleep.,Heart hurts
['itch at fr0ng and cen4eF of qvalp'],Hair falling out
inch I have pain in my stomach,Stomach ache
I feel fluid trying to come up when I cough.,Cough
['I hqbe a lot of mucus @heM I cojgB.'],Cough
"My stomach aches after I drink any soda drink, why?",Stomach ache
iodine feel severe itch inch the skin with inflammation,Skin issue
had I i sharp exercise feel muscle yesterday so alot of pains,Muscle pain
standing less than five minutes and my back start to ache,Back pain
I was kicked in the head playing soccer last night.,Injury from sports
There are some pimples on my face that bother me a lot,Acne
broke ankle while doing rock climbing the Carpathians.,Injury from sports
My grandson his foot on in the and now the foot is turning gray and is,Infected wound
"i iodine was diagnosed with pneumonia, i can't breath easily.",Hard to breath
My hair is falling out after I take a out shower.,Hair falling out
hit the I strong feel it during match. in my after knee pain was football,Injury from sports
iodine rich_person dark musca_volitans on my skin,Skin issue
['I cannot breathe becZKxe of hhiD EIll ache below my left snoulse5.'],Heart hurts
I have shooting pain in my after,Knee pain
i cant sleep because of cough iodine,Cough
up. I head spinning get is when My,Feeling dizzy
"['@hej I walk up a f.iYht of stwUrs, my r7gBt kBe3 hurts.']",Knee pain
my neck hurts me and i can't look down or up,Neck pain
discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.,Internal pain
"laceration, rupture Oregon opening inch the skin",Open wound
When I ear sneeze very hard I feel ear ache,Ear ache
I feel a burning sensation in my shoulder muscle.,Muscle pain
have the energy to do the things that I used to,Body feels weak
['i feel djzsy xfte$ severe diarrhea'],Feeling dizzy
After eating I have burning sensation iodine inside of me.,Stomach ache
"I am struggling to bear weight on my knee, when i stand straight I and hear a loud popping noise.",Knee pain
iodine rich_person angstrom powerful pain inside my neck,Neck pain
body feels weak and I tried to make it relax but it stills me,Body feels weak
again My wound opened up,Open wound
my neck hurts me and i can't look down or up,Neck pain
My head ache since I woke up this morning.,Head ache
be there angstrom remedy for acne?,Acne
My upper_berth back hour_angle be sore for angstrom week.,Back pain
do not know why I feel cold,Feeling cold
I like I went to an acupuncture's practice and had 100 needles in shoulder,Shoulder pain
feel I better back to but used killer the get same i alot pain still pain of,Back pain
I have a foot ache 500m with shoes.,Foot ache
"[""I can ' t ztxnd with this h)%rib.e fwelunH in my sRoJsch""]",Stomach ache
My skin be very dry and peeling.,Skin issue
['I gavS p(mplSw on my haFk.'],Acne
There is an injured person injure,Infected wound
My skin be antsy and inflame,Skin issue
My chest acne breaks out and clears,Acne
I have a problem in the expiration because i have abronchial asthma,Hard to breath
iodine can't move my head up and down.,Neck pain
I had sharp in,Stomach ache
I'm having hard time reading because all fuzzy,Blurry vision
the all I sad time. really feel,Emotional pain
have injured myself during soccer match,Injury from sports
my very arms close have sensation a rash to I,Skin issue
I have a cut that is red and swollen.,Infected wound
i have a angstrom strong shoulder pain,Shoulder pain
My skin is very dry and peeling.,Skin issue
When I tried to answer the phine call I found that I can't hear the voice of the speaker,Ear ache
My cough very is very heavy and I have mucus.,Cough
know I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
The feeling addition of coughing increases in winter's reach,Cough
need new to laptop angstrom iodine soon.,out of context
"My left ear feel is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
i feel dizzy after severe diarrhea,Feeling dizzy
"I've tried reading books, but nothing can cheer me up.",Emotional pain
iodine feel angstrom burning sensation inch my shoulder muscle.,Muscle pain
iodine feel dizzy whenever iodine base up.,Feeling dizzy
My joints ache whenever it is cold,Joint pain
i iodine feel pain in my body,Internal pain
severe cough have dry i,Cough
There move is so much pain when I move my arm.,Shoulder pain
"iodine Washington diagnose with pneumonia, iodine can't breath easily.",Hard to breath
My antsy skin is itchy and inflamed,Skin issue
I have and that come my go on eruptions face .,Acne
After eating I have burning sensation inside of me.,Stomach ache
This hanker scar on my left buttock be from fall murder my mountain bike.,Injury from sports
Associate_in_Nursing There is an injured person,Infected wound
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
I feel feel abdominal pain,Stomach ache
I feel strange pain my rib cage,Heart hurts
My back hurts so much I can't bend down to tie my shoelaces.,Back pain
"My is falling a reason, I can see a lot of on my working desk.",Hair falling out
iodine feel pain inch my right shoulder after the tennis match.,Injury from sports
iodine feel pain inch my head with angstrom dizziness,Head ache
I don't have full range of motion my arms,Shoulder pain
I'm not feeling good I can't take my breath,Hard to breath
['my ler5 Zise aches much'],Internal pain
['My television and conpkte3 se4h out of focus eceg tho Tgg I Yav@ new glasses.'],Blurry vision
my abdominal rich_person muscles have great pain since i was at GYM,Muscle pain
"iodine feel like iodine just can't header anymore, iodine feel overwhelm and like iodine just can't get angstrom break.",Emotional pain
I cut my hand a couple of days ago and although I close didn't think I needed it stitches it hasn't closed up.,Open wound
I get clusters whiteheads and blackheads my back.,Acne
I feel cold although are we are in summer.,Feeling cold
"[""I cut myQe;f and I ' m GlesWing.""]",Open wound
"My stomach ache after iodine drink any sodium_carbonate drink, why?",Stomach ache
"My skin color on my back be red, iodine don't know why.",Skin issue
my face over all acne have I,Acne
My foot is hurting so much.,Foot ache
['I got Wche sben I ate chiKL'],Acne
I've be feeling very sad recently,Emotional pain
I have a lot of mucus when I cough.,Cough
I have a throbbing in my joints,Joint pain
I feel a great pain in my shoulder shoulder joint and it does not go away,Joint pain
delicious. made turned we out out cake The,out of context
"[""I cut my hQnW a couple of da%q ago and a>5hougg I djdm ' t tGiHk I n$eCed it sHiFch@s it Uasm ' t closrr up.""]",Open wound
['cramps aloHv the whole sbdImWn'],Stomach ache
I cut my at the pool it breaks open every day when I on it.,Open wound
There is a sharp pain in my bicep. I have tried to apply pain relief cream pain but it does not help.,Muscle pain
I feel a sharp pain in my ankle joint when I stand.,Joint pain
I enjoy in my free,out of context
When stand up too I start to feel dizzy and light-headed,Feeling dizzy
I have acne in my face and other problema in my derma like itching,Skin issue
"I have a blurry vision during my swimming training the pool, why?",Blurry vision
today. clear sky blue and is sky The,out of context
iodine rich_person acne all over my face,Acne
cry,Emotional pain
"[""I ' m gavung a hw5d t9mD reading beXsuXe the l@6terD are all fuzzy""]",Blurry vision
iodine cut my hand angstrom couple of week ago and evening though iodine support exploitation Associate_in_Nursing antibiotic cream it's not acquiring better.,Infected wound
having difficulty knee moving my,Knee pain
['Feels Kiks GheFe are pins and j4edlds shickijr in my joints'],Joint pain
got i at gym the My was injured while back lifting,Injury from sports
hear of the can't phine speaker When the voice that found I I to I call the answer tried,Ear ache
I iodine sliced myself deeply with a knife while I was cooking,Open wound
iodine rich_person angstrom great pain inch my foot like thrombing pain with relax my pain releif,Foot ache
My thorax injury when iodine smoke,Internal pain
I lost my keys,out of context
iodine can't carry anything iodine rich_person angstrom pain inch my shoulder,Shoulder pain
bloating. constant stomach pain have I and,Internal pain
my left side ache much,Internal pain
I'm having a hard time reading because the letters are all fuzzy,Blurry vision
I feel a walk soreness in my knees when I walk,Joint pain
when i get i dizzy and fall down.,Feeling dizzy
I feel pain in my neck while I'm working.,Neck pain
I have a throbbing in joints,Joint pain
I have lower_berth a dull ache in my lower back which makes it difficult to move,Back pain
I feel a pain pain in my back,Back pain
i have a great pain in my thorax from heart injury,Heart hurts
inch A terrible fall in hair,Hair falling out
['I GaBe a gaid shortage'],Hair falling out
is my cut infected cut or just healing?,Infected wound
"[""I can ' t walk 1ePl I hqvw an afh2 in my foP%""]",Foot ache
great my in I pressure feel chest,Hard to breath
daughter had her eyebrows threaded and pulled of skin one of her brows that is puffy oozing.,Infected wound
every time iodine comb my hair there are sol many hair inch my comb.,Hair falling out
My neck feels stiff,Neck pain
stomach pain after drinking milk,Stomach ache
When I stand up too quickly I start to feel dizzy and start light-headed,Feeling dizzy
My back back hurts a lot when I bend,Back pain
I wish this feeling of loss could go away.,Emotional pain
i pain in my,Knee pain
iodine get injure exercise,Injury from sports
I cut myself and I'm bleeding.,Open wound
"in-front I dizzy I for two, reason? laptop feel possibly what hour be could an or of set my the when",Feeling dizzy
"['LacerQ$Lon, rIp4Jre or IpeGinv in the skin']",Open wound
['Ece4y morbiMB wUFn I wake up my neck fDSls Kikr I slept on in wrong.'],Muscle pain
iodine get Associate_in_Nursing ear ache when information_technology be cold,Ear ache
I'm sharp suffering from sharp cough Accompanied by phlegm,Cough
after eating iodine rich_person burning sensation inside of me.,Stomach ache
My son has hour_angle a lot of acne.,Acne
I feel a burning sensation in my guts hours after each meal.,Stomach ache
hurts me and i bend it walk,Back pain
a have complaining feeling whole is I body like my,Joint pain
My neck feels stiff,Neck pain
glass broken interrupt and wound my leg badly the wound is so wide,Open wound
I feel pain in my neck after waking up,Neck pain
information_technology scabies inside my ears.,Ear ache
The severe pain in stomach I feel,Stomach ache
['I hqGe dZdk spo5A on my skin'],Skin issue
['I Bav4 a smar) pain in my /owee stomach.'],Stomach ache
['I made lots and l9tw of anaIyZUs to lno! the main rwaWon for my cti<ach ache'],Stomach ache
"[""Wh3b I move my shoulder, it ' s lil$ lightning is be*gg seJg ghfoHgh my sj8uPder""]",Shoulder pain
I get red breakouts on my chest with red patches that get more intense when i get hot.,Acne
tried alot of cream i still feel same skin problem,Skin issue
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
There person an is injured,Infected wound
['I bav$ LSin in my colon and my e^omacJ like something cuFr*ng it'],Stomach ache
standing lupus_erythematosus than five minutes and my back start to ache,Back pain
My hair is falling out in bunches. fall,Hair falling out
front itch scalp and at center of,Hair falling out
There's and swelling neck it hurts. my in,Neck pain
I very in sports but now my body is,Injury from sports
When iodine walk iodine get angstrom knife pain inch the top of my foot,Foot ache
there be angstrom sharp pain inch my bicep,Muscle pain
I acne when I ate chili,Acne
Is there a cure for acne?,Acne
standing less than five minutes and my back start to back ache,Back pain
When my grand father died die I felt a hard emotional pain,Emotional pain
there back knee. like and inflamed something is my I of swollen the at feel,Knee pain
When I'm tired I feel my head iodine heavy,Head ache
feel lightheaded I stand,Feeling dizzy
I wake up at night feeling cold,Feeling cold
I have iodine throbing in my shoulder,Shoulder pain
It's important to recycle to protect the,out of context
helium Washington detect to rich_person Associate_in_Nursing open wound.,Open wound
When I play football I have joint pain.,Joint pain
['I Bewl l(ie my Jesrt is on fire.'],Heart hurts
"[""I ' m sifGerint from sharp co&rh Accompanied by phiegN""]",Cough
torn you a knee? have you do in your if know How meniscus,Knee pain
heavy When I'm head tired I feel my,Head ache
Anytime I play tennis I feel a shoulder pain,Shoulder pain
I can't stand up or sit down I have a pain in my base back that annoys me,Back pain
My feels although I take my vitamins,Body feels weak
"['It is hArS to b3exth Eh#n I am in the underground mDtrP Atzt7on, why?']",Hard to breath
a sliced was deeply I while cooking myself with I knife,Open wound
have in pain i needles like joints. my,Joint pain
I have angstrom a skin rash after eating an ice-cream.,Skin issue
I don't do anything at home and still iodine I feel exhausted.,Body feels weak
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
my ear injury Maine badly,Ear ache
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound
My heart feels like it's going to explode. like,Heart hurts
often I'm tell can't be triggering I a it. pain that chest my sharp I might in what get and doing,Heart hurts
longitudinal burning line across back with hard respiratory movements,Back pain
My muscle in move my shoulder burns when I move my arm.,Muscle pain
son is his and the grey on it My and pierced and is swollen lip lip inside his infected. looks skin had,Infected wound
I have some terrible problems when breathing during the,Cough
"I felt Every effort, make time dizzy. I an",Feeling dizzy
any ear makes Hearing my aches loud sounds,Ear ache
iodine must see angstrom doctor iodine rich_person Associate_in_Nursing open wound,Open wound
Sharp pain and heavy breathing,Internal pain
iodine rich_person angstrom interruption inch the skin between my thumb and index finger and information_technology volition not close.,Open wound
I get i joint pain when i try to bend my leg or my arm,Joint pain
I feel aching on my insides.,Internal pain
a get back When pain over my shooting bend I I down,Back pain
Whenever I stand up I feel dizzy.,Feeling dizzy
iodine recently learning how to paint. get_down,out of context
I play video like games to on,out of context
My chest acne breaks out and never clears up.,Acne
information_technology feel like person lodge angstrom knife into my shoulder,Shoulder pain
I feel suicidal.,Emotional pain
My acne get worse when information_technology be hot,Acne
When I brush my hair I notice big clumps of hair coming out in the iodine brush.,Hair falling out
iodine have angstrom cold the stopping_point time iodine travel by airplane and iodine still rich_person angstrom discomfort inch my ears.,Ear ache
"My mind feel very sad, arsenic if information_technology hurts. The manner iodine feel inch my head be atrocious and when iodine think about my break-up, iodine cry with sadness.",Emotional pain
again up wound opened My,Open wound
There an is person injured,Infected wound
['I dwel iiJe l ewll in hot water'],Skin issue
I feel pain when iodine i think of her,Emotional pain
iodine rich_person angstrom skin rash after eating Associate_in_Nursing ice-cream.,Skin issue
There is pain in the muscles I do not know caused,Muscle pain
['I was olsyKng soccer and I t!ustWd my aBkIe'],Injury from sports
The wound is still wound open,Open wound
fell skull is cracked like nuts,Head ache
['H4agLng any loud Qouhds mA<es my ear aches'],Ear ache
['I Mavd an intRdnsl pain I sWnnot describe'],Internal pain
the of reason made my to I for and lots analysis know main stomach lots ache,Stomach ache
I'm in need for a treatment for my fall,Hair falling out
The bakery nearby sells the best,out of context
i see well,Blurry vision
one oozing. opening puffy daughter brows and an it and skin of her eyebrows My now of in that had pulled threaded her is,Infected wound
issue with i skin have my,Skin issue
Feels like there are pins are and needles sticking in my joints,Joint pain
I alot of cream but i feel the same skin problem,Skin issue
My hair always falls out and iodine rich_person doomed angstrom batch of hair recently,Hair falling out
when i extend my leg there is pain in inch knee joint,Knee pain
run enjoy iodine every the morning. inch,out of context
"I have a blurry vision and i can't see in inch the darkness , what is the reason doctor ?",Blurry vision
i was playing football and injuried with joint pain.,Joint pain
"after playing tennis, iodine have angstrom powerful sensation stopping_point to my neck",Shoulder pain
I can't stand with this horrible feeling in my stomach,Stomach ache
When iodine aftermath up inch the morning iodine feel angstrom tenderness inch my body,Muscle pain
iodine feel heart pain when iodine walk angstrom batch,Heart hurts
I don't have full of with arms,Shoulder pain
['I feel a shzgp 0win in my ankle jPiGt whrm I stand.'],Joint pain
I have constant stomach pain pain and bloating.,Internal pain
I got a divorce last year I just can't dwelling how to get revenge on my ex husband.,Emotional pain
having I am running nose,Feeling cold
"iodine I hardly have enough stength to get up,",Body feels weak
['I EaIk ev$Gy day but now I get shoEG of b5eatm after going oglt a shoer way.'],Hard to breath
['I have a shxfp pqiM and Vlicminb ZounX in my abkie joint when I try to staBE on it and 3aPk.'],Joint pain
"[""I ' m having a bxrd F9me MeaDinh.""]",Ear ache
There angstrom is a sharp pain in my ear whenever I do this.,Ear ache
time every I feel move joint I pain,Joint pain
internal cold. pain whenever I a have down come I with,Internal pain
"My left ear is ok, but the right one feels like it's being stabbed with a knife nail.",Ear ache
My knees ache on cold and rainy days.,Knee pain
iodine feel injury inch my heart,Heart hurts
my hair isn't well,Hair falling out
Hearing any loud sounds makes my ear aches,Ear ache
How knee? you know a in if your torn you meniscus have do,Knee pain
['I NavS a hWTd muscle oaib WiHce i went to the gym'],Muscle pain
pain have severe shoulder I,Shoulder pain
when to My try pounds. I aches five shoulder lift,Shoulder pain
Every time it rains I get hives on my belly and sides.,Skin issue
cause There is pain in the muscles I do not know caused,Muscle pain
['Why is my dhohlde$ achonN aYen I try to piFj up the lauBd3%?'],Shoulder pain
morning. truly The Washington traffic bad this,out of context
get I got acne when I ate chili,Acne
I I ear the went have my pain forest into Since on,Ear ache
i my car at night because i have blurry vision.,Blurry vision
My stomach starts hurting but then it feels after I eat,Stomach ache
"i injured during football match, i was with Cruciate ligament",Injury from sports
My knee injury when iodine walk,Knee pain
My knees swell right below the knee cap and hurt when I put weight on them.,Knee pain
i have pain but i can't place,Internal pain
be pimple angstrom skin disease?,Acne
"When iodine move on my shoulder, pain shoot down my arm",Shoulder pain
I tried make massage on foot but they still pain me,Foot ache
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne
I have an ear ache when showering,Ear ache
iodine get injure exercise,Injury from sports
time hearing. I'm having hard a,Ear ache
['My mnwe fedlW Sezk and it gabW way the oHh$r day at the top of the staj$s. LuFki.^ thwr3 was a rail to golv on to.'],Knee pain
I feel a burning sensation in my guts about 2 hours after each meal.,Stomach ache
store on had big a sale clothes. The,out of context
of relaxed muscles need kind my cream a I wich more make,Muscle pain
There is a sharp pain in my bicep. I have tried apply pain relief cream but,Muscle pain
My head head is so heavy can't think normally,Head ache
I can't get a girlfriend because of my acne. iodine,Acne
When I play football I have muscle pain.,Muscle pain
i can hardly breathe,Hard to breath
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound
I have a skin rash after eating an ice-cream.,Skin issue
weak body tried I pain stills to relax My and feels it me but it make,Body feels weak
"My body feels weak although I eat a lot, why?",Body feels weak
The library is a quiet place to,out of context
['My stLmwcj r#els full and uLQet and bloating aet3r big meals.'],Stomach ache
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath
['I get XiustSrs of whiGFh3ads and blacUheQdw on my hAck.'],Acne
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain
['i feel pxKn in my H(dy'],Internal pain
I have a powerful pain inside my neck,Neck pain
I can`t coughing.,Cough
['I us2x to hWvF acbd ehem I was 15 years old'],Acne
I have severe shoulder pain,Shoulder pain
I love to garden but I get a terrible twinge in my lower back when I iodine lean over.,Back pain
I have skin rash eating an ice-cream.,Skin issue
['i f2eK cold'],Feeling cold
"['my cbc 3eporf inc9cat$ 10 hb, i D$el hi4ed of little 3oru.']",Body feels weak
iodine feel pain inch my back,Back pain
I when see hair feel I depressed out falling my,Hair falling out
iodine feel angstrom batch of pain inch the joints.,Joint pain
the looks My and lip infected. pierced on skin it swollen inside had is is and lip son grey and his his,Infected wound
iodine rich_person muscle pain astatine my left leg.,Muscle pain
My out and i have a lot,Hair falling out
I'm need for a for my hair fall,Hair falling out
['I us@v to hXge Qsne EUen I was 15 years old'],Acne
iodine rich_person Associate_in_Nursing indigestion,Stomach ache
iodine hit myself and the would doesn't privation to mend,Open wound
feel I feel very hard to breathe,Hard to breath
I soreness a my walk feel when I in knees,Joint pain
I feel pain in my throat,Cough
iodine rich_person angstrom back pain since iodine hide on the floor.,Back pain
I have constant stomach pain and rich_person bloating.,Internal pain
When I'm tire iodine feel my head heavy,Head ache
"[""My josW is congested all the riKe and GherR ' s Fhiq gluey secrSt7oB in my rhroqt that Kzkes it imLoWsib,e for me to sleep. I often have to nap sl65ing Eowm.""]",Hard to breath
My shoulder hurts when I try to reach attempt something above my head.,Shoulder pain
neck working. I while pain I'm feel in my,Neck pain
iodine rich_person angstrom painful spasm inch my foot,Foot ache
['I get i Uoin$ pa7b 2Uen i try to fenS my leg or my arm'],Joint pain
The warming system of my house is broken and feel interrupt so cold,Feeling cold
When I walk I get a stabbing pain in the top of my foot,Foot ache
Need to scratch my skin every minute minute,Skin issue
When I tried to answer the phine call I found that I can't hear the voice of the speaker,Ear ache
I cannot get warm no matter how much I wrap on up or how high I put the heating on,Feeling cold
a It I can't take like breath feels deep,Hard to breath
put foot. pressure on ankle My joint throbs I my when,Joint pain
After walking I some have some pain under my foot,Foot ache
I'm not good i feel dizzy,Feeling dizzy
squeezing have bear chest. cannot this in I my I sensation,Heart hurts
feel something hurt me in taking breath and I cant my breath,Hard to breath
"iodine can't walk, my knee injury Maine",Knee pain
iodine feel deep prickling when iodine touch acne follow by bad sensation,Acne
my head hurts badly,Head ache
iodine feel congestion inch my thorax,Cough
My knee is so badly.,Joint pain
"['I hardly hACe snouth ztdng5h to get up,']",Body feels weak
The library is a quiet place to,out of context
iodine use alot of pain killer to get better merely iodine still feel the Lapp back pain,Back pain
"[""I can ' t stamx up or sit codn I have a paUM in my baFU tBaR anHoya me""]",Back pain
friend just bought a,out of context
My sore looks like its not expression healing well.,Infected wound
My like filled with mucus,Cough
When I bend I shooting pain down my back,Back pain
recently iodine how paint. learning to started I,out of context
I can't move my head up and down.,Neck pain
there be angstrom red stain inch my skin,Skin issue
Chronic bowel Pain,Internal pain
Something dark be there on my arm,Skin issue
I feel dizzy when I set in-front my laptop for an hour or what possibly could be the reason?,Feeling dizzy
but is out in have breath don't taking so problems I breath heavy,Hard to breath
The train was delayed by train an,out of context
"[""I can ' t m9v$ my heqr up and do!H.""]",Neck pain
"iodine can't base up, iodine feel my brain be travel inside my skull.",Head ache
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound
['WhRM I wake up in the moDh7ng I fW4l a s8Teneqs in my bKdt'],Muscle pain
My back hurts lot when I bend,Back pain
['I have a ZhArp pa7B in my loDdr stomach.'],Stomach ache
"['I get YiDed too fzWt, I can ba5el% put on my fl)theE in the jorminb.']",Body feels weak
"When I go to stand, my iodine head starts swirling",Feeling dizzy
Even though I'm an my face breaking out in pimples.,Acne
badly hurts me my head,Head ache
I emotionally feel emotionally crushed,Emotional pain
I feel although we are in summer.,Feeling cold
I a collision while playing soccer. My knee buckled now it's unstable.,Injury from sports
father I emotional my When a felt grand pain hard died,Emotional pain
When I'm I feel my head heavy,Head ache
"to painful pus, firing wounds surgical and touch red, the hot",Infected wound
['Every 5ine I take a fee( breath I start co&ghijR'],Cough
back I I lumber carried me. think I lower is all overdid killing from that the it yard. when My,Back pain
['I Re#l pain 3heJ i tYinI of her'],Emotional pain
hurts it bend My and walk can't back or me i,Back pain
I have internal pain whenever I come rich_person down with a cold.,Internal pain
head I have a dull ache in my head,Head ache
I have a iodine pain in my head,Head ache
energy that don't to used I the I to the things have do,Body feels weak
['I have int@rga. 9Zin wh4Bevet I come down 1oth a cold.'],Internal pain
like l fell in water,Skin issue
['My /uJgs feel heavy .ikw 5Bey are filled with mucus'],Cough
Chronic bowel Pain,Internal pain
My ear injury when iodine touch it.,Ear ache
['i Mabe a grwa% pakM in my thorax fr(J heart injury'],Heart hurts
My knee injury sol bad to walk that iodine stay sitting More than iodine should.,Knee pain
['I taGe a split on my tYumV 4haG will not hSZl.'],Open wound
My foot hurts me a angstrom lot of playing football,Foot ache
I a scab the back of my hand that won't,Skin issue
I have a hard muscle pain since i went to the gym,Muscle pain
iodine aftermath up astatine night feeling cold,Feeling cold
I cannot get warm no how much I wrap up or how high I put heating on,Feeling cold
I have a pain internal,Internal pain
My neck is annoying I can't of it,Neck pain
why be my shoulder ache when iodine attempt to choice up the laundry?,Shoulder pain
"problem got pregnancy, a covered sudden zits. back when I acne until of any had last never my all my in",Acne
when i extend my leg there is pain in knee joint,Knee pain
ache foot I an walk can't have my well I in,Foot ache
I iodine have a lot of mucus when I cough.,Cough
"[""My hSAd is so heavy can ' t thim. nprmQply""]",Head ache
My skin be very dry and peeling.,Skin issue
The ankle nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache
iodine feel cold and chill evening though my apparel are heavy,Feeling cold
"[""i can ' t see wFlp""]",Blurry vision
my carry to have when try I pain shoulder I groceries.,Shoulder pain
worse in dull ache a It I stomach. my after I gets eat. have,Internal pain
i feel that it's breath for me specially after or making effort,Hard to breath
in a tightness feel my chest I,Hard to breath
information_technology injury when iodine raise my arm up,Shoulder pain
